Provider,FilePath,Tags,RelatedUrl,ServiceName,Description,Categories,Notes,CheckTitle,CheckAliases,DependsOn,SubServiceName,CheckType,CheckID,Remediation,Severity,RelatedTo,ResourceIdTemplate,ResourceType,Risk
aws,/Users/apple/Desktop/github/prowler/providers/aws/services/organizations/organizations_scp_check_deny_regions/organizations_scp_check_deny_regions.metadata.json,,,organizations,"As best practice, AWS Regions should be restricted and only allow the ones that are needed.",[],,Check if AWS Regions are restricted with SCP policies,,[],,['Logging and Monitoring'],organizations_scp_check_deny_regions,"{'Code': {'CLI': '', 'NativeIaC': '', 'Other': '', 'Terraform': ''}, 'Recommendation': {'Text': 'Restrict AWS Regions using SCP policies.', 'Url': 'https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_policies_scps_examples_general.html#example-scp-deny-region'}}",low,[],arn:partition:service::account-id:organization/organization-id,Other,"The risk associated with not restricting AWS Regions with Service Control Policies (SCPs) is that it can lead to unauthorized access or use of resources in regions that are not intended for use. This can result in increased costs due to inefficiencies in resource usage and can also expose sensitive data to unauthorized access or breaches. By restricting access to AWS Regions with SCP policies, organizations can help ensure that only authorized personnel have access to the resources they need, while minimizing the risk of security breaches and compliance violations."
aws,/Users/apple/Desktop/github/prowler/providers/aws/services/organizations/organizations_tags_policies_enabled_and_attached/organizations_tags_policies_enabled_and_attached.metadata.json,,,organizations,Check if an AWS Organization has tags policies enabled and attached.,[],,Check if an AWS Organization has tags policies enabled and attached.,,[],,[],organizations_tags_policies_enabled_and_attached,"{'Code': {'CLI': '', 'NativeIaC': '', 'Other': '', 'Terraform': ''}, 'Recommendation': {'Text': 'Enable and attach AWS Organizations tags policies.', 'Url': 'https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_policies_tag-policies.html'}}",medium,[],arn:partition:service::account-id:organization/organization-id,Other,"If an AWS Organization tags policies are not enabled and attached, it is not possible to enforce tags on AWS resources."
aws,/Users/apple/Desktop/github/prowler/providers/aws/services/organizations/organizations_delegated_administrators/organizations_delegated_administrators.metadata.json,,,organizations,This check verify if there are AWS Organizations delegated administrators and if they are trusted (you can define your trusted delegated administrator in Prowler configuration),[],,Check if AWS Organizations delegated administrators are trusted,,[],,['Logging and Monitoring'],organizations_delegated_administrators,"{'Code': {'CLI': '', 'NativeIaC': '', 'Other': '', 'Terraform': ''}, 'Recommendation': {'Text': 'Review delegated administrators', 'Url': 'https://docs.aws.amazon.com/organizations/latest/userguide/orgs_delegate_policies.html'}}",high,[],arn:partition:service::account-id:organization/organization-id,Other,"The risk associated with having untrusted delegated administrators within an AWS Organizations is that they may have the ability to access and make changes to sensitive data and resources within an organization's AWS accounts. This can result in unauthorized access or data breaches, which can lead to financial losses, damage to reputation, and legal liabilities. It's important to carefully vet and monitor AWS Organizations delegated administrators to ensure that they are trustworthy and have a legitimate need for access to the organization's resources."
aws,/Users/apple/Desktop/github/prowler/providers/aws/services/organizations/organizations_account_part_of_organizations/organizations_account_part_of_organizations.metadata.json,,,organizations,Ensure that AWS Organizations service is currently in use.,[],,Check if account is part of an AWS Organizations,,[],,['Logging and Monitoring'],organizations_account_part_of_organizations,"{'Code': {'CLI': '', 'NativeIaC': '', 'Other': '', 'Terraform': ''}, 'Recommendation': {'Text': 'Create or Join an AWS Organization', 'Url': 'https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_org_create.html'}}",medium,[],arn:partition:service::account-id:organization/organization-id,Other,"The risk associated with not being part of an AWS Organizations is that it can lead to a lack of centralized management and control over the AWS accounts in an organization. This can make it difficult to enforce security policies consistently across all accounts, and can also result in increased costs due to inefficiencies in resource usage. Additionally, not being part of an AWS Organizations can make it harder to track and manage account usage and access."
aws,/Users/apple/Desktop/github/prowler/providers/aws/services/shield/shield_advanced_protection_in_classic_load_balancers/shield_advanced_protection_in_classic_load_balancers.metadata.json,,https://docs.aws.amazon.com/waf/latest/developerguide/configure-new-protection.html,shield,Check if Classic Load Balancers are protected by AWS Shield Advanced.,[],,Check if Classic Load Balancers are protected by AWS Shield Advanced.,,[],,[],shield_advanced_protection_in_classic_load_balancers,"{'Code': {'CLI': '', 'NativeIaC': '', 'Other': '', 'Terraform': ''}, 'Recommendation': {'Text': 'Add as a protected resource in AWS Shield Advanced.', 'Url': 'https://docs.aws.amazon.com/waf/latest/developerguide/configure-new-protection.html'}}",medium,[],,AwsElbLoadBalancer,AWS Shield Advanced provides expanded DDoS attack protection for your resources.
aws,/Users/apple/Desktop/github/prowler/providers/aws/services/shield/shield_advanced_protection_in_route53_hosted_zones/shield_advanced_protection_in_route53_hosted_zones.metadata.json,,https://docs.aws.amazon.com/waf/latest/developerguide/configure-new-protection.html,shield,Check if Route53 hosted zones are protected by AWS Shield Advanced.,[],,Check if Route53 hosted zones are protected by AWS Shield Advanced.,,[],,[],shield_advanced_protection_in_route53_hosted_zones,"{'Code': {'CLI': '', 'NativeIaC': '', 'Other': '', 'Terraform': ''}, 'Recommendation': {'Text': 'Add as a protected resource in AWS Shield Advanced.', 'Url': 'https://docs.aws.amazon.com/waf/latest/developerguide/configure-new-protection.html'}}",medium,[],,AwsRoute53HostedZone,AWS Shield Advanced provides expanded DDoS attack protection for your resources.
aws,/Users/apple/Desktop/github/prowler/providers/aws/services/shield/shield_advanced_protection_in_cloudfront_distributions/shield_advanced_protection_in_cloudfront_distributions.metadata.json,,https://docs.aws.amazon.com/waf/latest/developerguide/configure-new-protection.html,shield,Check if Cloudfront distributions are protected by AWS Shield Advanced.,[],,Check if Cloudfront distributions are protected by AWS Shield Advanced.,,[],,[],shield_advanced_protection_in_cloudfront_distributions,"{'Code': {'CLI': '', 'NativeIaC': '', 'Other': '', 'Terraform': ''}, 'Recommendation': {'Text': 'Add as a protected resource in AWS Shield Advanced.', 'Url': 'https://docs.aws.amazon.com/waf/latest/developerguide/configure-new-protection.html'}}",medium,[],,AwsCloudFrontDistribution,AWS Shield Advanced provides expanded DDoS attack protection for your resources.
aws,/Users/apple/Desktop/github/prowler/providers/aws/services/shield/shield_advanced_protection_in_global_accelerators/shield_advanced_protection_in_global_accelerators.metadata.json,,https://docs.aws.amazon.com/waf/latest/developerguide/configure-new-protection.html,shield,Check if Global Accelerators are protected by AWS Shield Advanced.,[],,Check if Global Accelerators are protected by AWS Shield Advanced.,,[],,[],shield_advanced_protection_in_global_accelerators,"{'Code': {'CLI': '', 'NativeIaC': '', 'Other': '', 'Terraform': ''}, 'Recommendation': {'Text': 'Add as a protected resource in AWS Shield Advanced.', 'Url': 'https://docs.aws.amazon.com/waf/latest/developerguide/configure-new-protection.html'}}",medium,[],,Other,AWS Shield Advanced provides expanded DDoS attack protection for your resources.
aws,/Users/apple/Desktop/github/prowler/providers/aws/services/shield/shield_advanced_protection_in_associated_elastic_ips/shield_advanced_protection_in_associated_elastic_ips.metadata.json,,https://docs.aws.amazon.com/waf/latest/developerguide/configure-new-protection.html,shield,Check if Elastic IP addresses with associations are protected by AWS Shield Advanced.,[],,Check if Elastic IP addresses with associations are protected by AWS Shield Advanced.,,[],,[],shield_advanced_protection_in_associated_elastic_ips,"{'Code': {'CLI': '', 'NativeIaC': '', 'Other': '', 'Terraform': ''}, 'Recommendation': {'Text': 'Add as a protected resource in AWS Shield Advanced.', 'Url': 'https://docs.aws.amazon.com/waf/latest/developerguide/configure-new-protection.html'}}",medium,[],,AwsEc2Eip,AWS Shield Advanced provides expanded DDoS attack protection for your resources.
aws,/Users/apple/Desktop/github/prowler/providers/aws/services/shield/shield_advanced_protection_in_internet_facing_load_balancers/shield_advanced_protection_in_internet_facing_load_balancers.metadata.json,,https://docs.aws.amazon.com/waf/latest/developerguide/configure-new-protection.html,shield,Check if internet-facing Application Load Balancers are protected by AWS Shield Advanced.,[],,Check if internet-facing Application Load Balancers are protected by AWS Shield Advanced.,,[],,[],shield_advanced_protection_in_internet_facing_load_balancers,"{'Code': {'CLI': '', 'NativeIaC': '', 'Other': '', 'Terraform': ''}, 'Recommendation': {'Text': 'Add as a protected resource in AWS Shield Advanced.', 'Url': 'https://docs.aws.amazon.com/waf/latest/developerguide/configure-new-protection.html'}}",medium,[],,AwsElbv2LoadBalancer,AWS Shield Advanced provides expanded DDoS attack protection for your resources.
aws,/Users/apple/Desktop/github/prowler/providers/aws/services/ssm/ssm_documents_set_as_public/ssm_documents_set_as_public.metadata.json,,https://docs.aws.amazon.com/systems-manager/latest/userguide/ssm-before-you-share.html,ssm,Check if there are SSM Documents set as public.,['internet-exposed'],,Check if there are SSM Documents set as public.,,[],,[],ssm_documents_set_as_public,"{'Code': {'CLI': '', 'NativeIaC': '', 'Other': 'https://github.com/cloudmatos/matos/tree/master/remediations/aws/ssm/ssm-doc-block', 'Terraform': ''}, 'Recommendation': {'Text': 'Carefully review the contents of the document before is shared. Enable SSM Block public sharing for documents.', 'Url': 'https://docs.aws.amazon.com/systems-manager/latest/userguide/ssm-before-you-share.html'}}",high,[],arn:aws:ssm:region:account-id:document/document-name,AwsSsmDocument,SSM Documents may contain private information or even secrets and tokens.
aws,/Users/apple/Desktop/github/prowler/providers/aws/services/ssm/ssm_document_secrets/ssm_document_secrets.metadata.json,,https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/aws-properties-secretsmanager-secret-generatesecretstring.html,ssm,Find secrets in SSM Documents.,['secrets'],,Find secrets in SSM Documents.,,[],,[],ssm_document_secrets,"{'Code': {'CLI': '', 'NativeIaC': '', 'Other': '', 'Terraform': ''}, 'Recommendation': {'Text': 'Implement automated detective control (e.g. using tools like Prowler) to scan accounts for passwords and secrets. Use Secrets Manager service to store and retrieve passwords and secrets.', 'Url': 'https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/aws-properties-secretsmanager-secret-generatesecretstring.html'}}",critical,[],arn:aws:ssm:region:account-id:document/document-name,AwsSsmDocument,Secrets hardcoded into SSM Documents by malware and bad actors to gain lateral access to other services.
aws,/Users/apple/Desktop/github/prowler/providers/aws/services/ssm/ssm_managed_compliant_patching/ssm_managed_compliant_patching.metadata.json,,https://docs.aws.amazon.com/systems-manager/latest/userguide/patch-compliance-identify.html,ssm,Check if EC2 instances managed by Systems Manager are compliant with patching requirements.,[],,Check if EC2 instances managed by Systems Manager are compliant with patching requirements.,,[],,[],ssm_managed_compliant_patching,"{'Code': {'CLI': '', 'NativeIaC': '', 'Other': '', 'Terraform': ''}, 'Recommendation': {'Text': 'Consider using SSM in all accounts and services to at least monitor for missing patches on servers. Use a robust process to apply security fixes as soon as they are made available. Patch compliance data from Patch Manager can be sent to AWS Security Hub to centralize security issues.', 'Url': 'https://docs.aws.amazon.com/systems-manager/latest/userguide/patch-compliance-identify.html'}}",high,[],arn:aws:ec2:region:account-id:instance/instance-id,AwsSsmPatchCompliance,Without the most recent security patches your system is potentially vulnerable to cyberattacks. Even the best-designed software can not anticipate every future threat to cybersecurity. Poor patch management can leave an organizations data exposed subjecting them to malware and ransomware attacks.
aws,/Users/apple/Desktop/github/prowler/providers/aws/services/servicecatalog/servicecatalog_portfolio_shared_within_organization_only/servicecatalog_portfolio_shared_within_organization_only.metadata.json,,https://docs.aws.amazon.com/servicecatalog/latest/adminguide/catalogs_portfolios_sharing.html,servicecatalog,This control checks whether AWS Service Catalog shares portfolios within an organization when the integration with AWS Organizations is enabled. The control fails if portfolios aren't shared within an organization.,['trustboundaries'],,Service Catalog portfolios should be shared within an AWS organization only,,[],,['Software and Configuration Checks/AWS Security Best Practices'],servicecatalog_portfolio_shared_within_organization_only,"{'Code': {'CLI': 'aws servicecatalog create-portfolio-share --portfolio-id <portfolio-id> --organization-ids <org-id>', 'NativeIaC': '', 'Other': 'https://docs.aws.amazon.com/servicecatalog/latest/adminguide/catalogs_portfolios_sharing.html', 'Terraform': ''}, 'Recommendation': {'Text': 'Configure AWS Service Catalog to share portfolios only within your AWS Organization for more secure access management.', 'Url': 'https://docs.aws.amazon.com/servicecatalog/latest/adminguide/catalogs_portfolios_sharing.html'}}",high,[],arn:aws:servicecatalog:{region}:{account-id}:portfolio/{portfolio-id},AwsServiceCatalogPortfolio,"Sharing Service Catalog portfolios outside of an organization may result in access granted to unintended AWS accounts, potentially exposing sensitive resources."
aws,/Users/apple/Desktop/github/prowler/providers/aws/services/secretsmanager/secretsmanager_automatic_rotation_enabled/secretsmanager_automatic_rotation_enabled.metadata.json,,https://docs.aws.amazon.com/secretsmanager/latest/userguide/rotating-secrets_strategies.html,secretsmanager,Check if Secrets Manager secret rotation is enabled.,[],Infrastructure Protection,Check if Secrets Manager secret rotation is enabled.,,[],,[],secretsmanager_automatic_rotation_enabled,"{'Code': {'CLI': 'aws secretsmanager rotate-secret --region <REGION> --secret-id <SECRET-ID> --rotation-lambda-arn <LAMBDA-ARN> --rotation-rules AutomaticallyAfterDays=30', 'NativeIaC': '', 'Other': '', 'Terraform': ''}, 'Recommendation': {'Text': 'Implement automated detective control to scan accounts for passwords and secrets. Use secrets manager service to store and retrieve passwords and secrets.', 'Url': 'https://docs.aws.amazon.com/secretsmanager/latest/userguide/rotating-secrets_strategies.html'}}",medium,[],arn:aws:secretsmanager:region:account-id:secret:secret-name,AwsSecretsManagerSecret,Rotating secrets minimizes exposure to attacks using stolen secrets.
aws,/Users/apple/Desktop/github/prowler/providers/aws/services/secretsmanager/secretsmanager_not_publicly_accessible/secretsmanager_not_publicly_accessible.metadata.json,,https://docs.aws.amazon.com/secretsmanager/latest/userguide/auth-and-access_resource-policies.html,secretsmanager,This control checks whether Secrets Manager secrets are not publicly accessible via resource policies.,['internet-exposed'],,Ensure Secrets Manager secrets are not publicly accessible.,,[],,['Software and Configuration Checks/AWS Security Best Practices'],secretsmanager_not_publicly_accessible,"{'Code': {'CLI': 'aws secretsmanager delete-resource-policy --secret-id <secret-id>', 'NativeIaC': '', 'Other': '', 'Terraform': ''}, 'Recommendation': {'Text': 'Review and remove any public access from Secrets Manager policies to follow the Principle of Least Privilege.', 'Url': 'https://docs.aws.amazon.com/secretsmanager/latest/userguide/determine-acccess_examine-iam-policies.html'}}",high,[],arn:aws:secretsmanager:region:account-id:secret:secret-name,AwsSecretsManagerSecret,Publicly accessible secrets can expose sensitive information and pose a security risk.
aws,/Users/apple/Desktop/github/prowler/providers/aws/services/secretsmanager/secretsmanager_secret_rotated_periodically/secretsmanager_secret_rotated_periodically.metadata.json,,https://docs.aws.amazon.com/secretsmanager/latest/userguide/rotating-secrets.html,secretsmanager,Secrets should be rotated periodically to reduce the risk of unauthorized access.,['secrets'],,Secrets should be rotated periodically,,[],,[],secretsmanager_secret_rotated_periodically,"{'Code': {'CLI': 'aws secretsmanager rotate-secret --secret-id <secret-name>', 'NativeIaC': '', 'Other': 'https://docs.aws.amazon.com/securityhub/latest/userguide/secretsmanager-controls.html#secretsmanager-4', 'Terraform': ''}, 'Recommendation': {'Text': 'Configure automatic rotation for your Secrets Manager secrets.', 'Url': 'https://docs.aws.amazon.com/secretsmanager/latest/userguide/rotate-secrets_lambda.html'}}",medium,[],arn:aws:secretsmanager:region:account-id:secret:secret-name,AwsSecretsManagerSecret,"Rotating secrets in your AWS account reduces the risk of unauthorized access, especially for credentials like passwords or API keys. Automatic rotation via AWS Secrets Manager replaces long-term secrets with short-term ones, lowering the chances of compromise."
aws,/Users/apple/Desktop/github/prowler/providers/aws/services/secretsmanager/secretsmanager_secret_unused/secretsmanager_secret_unused.metadata.json,,https://docs.aws.amazon.com/secretsmanager/latest/userguide/manage_delete-secret.html,secretsmanager,Checks whether Secrets Manager secrets are unused.,['secrets'],,Ensure secrets manager secrets are not unused,,[],,[],secretsmanager_secret_unused,"{'Code': {'CLI': 'aws secretsmanager delete-secret --secret-id <secret-arn>', 'NativeIaC': '', 'Other': 'https://docs.aws.amazon.com/securityhub/latest/userguide/secretsmanager-controls.html#secretsmanager-3', 'Terraform': ''}, 'Recommendation': {'Text': 'Regularly review Secrets Manager secrets and delete those that are no longer in use.', 'Url': 'https://docs.aws.amazon.com/secretsmanager/latest/userguide/manage_delete-secret.html'}}",medium,[],arn:aws:secretsmanager:region:account-id:secret:secret-name,AwsSecretsManagerSecret,"Unused secrets can be abused by former users or leaked to unauthorized entities, increasing the risk of unauthorized access and data breaches."
