Function Name,Implementation Status,Compliance Frameworks Count,Compliance Frameworks,Primary API Function,Primary User Function,File Exists,Notes
apigateway_restapi_cache_encrypted,,3,"iso27001_2022_aws, pci_4.0_aws",client=boto3.client('apigateway'),"get_rest_apis(), get_stages(), get_method()",YES,Serves 3 compliance requirements across 2 frameworks
apigateway_restapi_client_certificate_enabled,,39,"aws_foundational_security_best_practices_aws, kisa_isms_p_2023_aws, aws_well_architected_framework_security_pillar_aws, nist_800_53_revision_5_aws, ffiec_aws, cisa_aws, gxp_21_cfr_part_11_aws, kisa_isms_p_2023_korean_aws, fedramp_moderate_revision_4_aws, nist_800_171_revision_2_aws, rbi_cyber_security_framework_aws",client = boto3.client('apigateway'),"get_rest_apis(), get_stage()",YES,Serves 39 compliance requirements across 11 frameworks
apigateway_restapi_logging_enabled,,99,"nist_csf_1.1_aws, gxp_21_cfr_part_11_aws, pci_3.2.1_aws, nist_800_53_revision_5_aws, nist_800_53_revision_4_aws, soc2_aws, aws_well_architected_framework_reliability_pillar_aws, fedramp_moderate_revision_4_aws, nist_800_171_revision_2_aws, aws_foundational_security_best_practices_aws, fedramp_low_revision_4_aws, aws_well_architected_framework_security_pillar_aws, ffiec_aws, iso27001_2022_aws, kisa_isms_p_2023_korean_aws, hipaa_aws, rbi_cyber_security_framework_aws, pci_4.0_aws, kisa_isms_p_2023_aws, cisa_aws",client = boto3.client('apigateway'),"get_rest_apis(), get_stage()",YES,Serves 99 compliance requirements across 20 frameworks
apigateway_restapi_public,,6,"aws_well_architected_framework_security_pillar_aws, kisa_isms_p_2023_aws, iso27001_2022_aws, kisa_isms_p_2023_korean_aws",client=boto3.client('apigateway'),"get_rest_apis(), get_resources(), get_method()",YES,Serves 6 compliance requirements across 4 frameworks
apigateway_restapi_public_with_authorizer,,4,"kisa_isms_p_2023_aws, kisa_isms_p_2023_korean_aws",client=boto3.client('apigateway'),"get_rest_apis(), get_resources(), get_method()",YES,Serves 4 compliance requirements across 2 frameworks
apigateway_restapi_tracing_enabled,,20,pci_4.0_aws,"client1 = boto3.client('apigateway'), client2=boto3.client('wafv2')","get_rest_apis(), get_stages()",YES,Serves 20 compliance requirements across 1 frameworks
apigateway_restapi_waf_acl_attached,,41,"pci_3.2.1_aws, aws_foundational_security_best_practices_aws, fedramp_low_revision_4_aws, aws_well_architected_framework_security_pillar_aws, kisa_isms_p_2023_aws, nist_800_53_revision_5_aws, ens_rd2022_aws, ffiec_aws, cisa_aws, kisa_isms_p_2023_korean_aws, aws_account_security_onboarding_aws, fedramp_moderate_revision_4_aws, rbi_cyber_security_framework_aws, pci_4.0_aws","client1 = boto3.client('apigateway'), client2=boto3.client('wafv2')",list_resources_for_web_acl(WebACLArn='...'),YES,Serves 41 compliance requirements across 14 frameworks
apigatewayv2_api_access_logging_enabled,,20,"aws_foundational_security_best_practices_aws, aws_well_architected_framework_security_pillar_aws, kisa_isms_p_2023_aws, soc2_aws, iso27001_2022_aws, aws_well_architected_framework_reliability_pillar_aws, kisa_isms_p_2023_korean_aws, pci_4.0_aws","client1 = boto3.client('apigateway'), client2=boto3.client('wafv2')","get_apis(), get_stages()",YES,Serves 20 compliance requirements across 8 frameworks
apigatewayv2_api_authorizers_enabled,,6,"aws_foundational_security_best_practices_aws, aws_well_architected_framework_security_pillar_aws, kisa_isms_p_2023_aws, kisa_isms_p_2023_korean_aws","client1 = boto3.client('apigateway'), client2=boto3.client('wafv2')","get_apis(), get_routes()",YES,Serves 6 compliance requirements across 4 frameworks
appstream_fleet_default_internet_access_disabled,,10,"aws_well_architected_framework_security_pillar_aws, kisa_isms_p_2023_aws, iso27001_2022_aws, kisa_isms_p_2023_korean_aws",client=boto3.client('appstream'),describe_fleets(),YES,Serves 10 compliance requirements across 4 frameworks
appstream_fleet_maximum_session_duration,,9,"aws_well_architected_framework_security_pillar_aws, kisa_isms_p_2023_aws, kisa_isms_p_2023_korean_aws",client=boto3.client('appstream'),describe_fleets(),YES,Serves 9 compliance requirements across 3 frameworks
appstream_fleet_session_disconnect_timeout,,9,"aws_well_architected_framework_security_pillar_aws, kisa_isms_p_2023_aws, kisa_isms_p_2023_korean_aws",client=boto3.client('appstream'),describe_fleets(),YES,Serves 9 compliance requirements across 3 frameworks
appstream_fleet_session_idle_disconnect_timeout,,9,"aws_well_architected_framework_security_pillar_aws, kisa_isms_p_2023_aws, kisa_isms_p_2023_korean_aws",client=boto3.client('appstream'),describe_fleets(),YES,Serves 9 compliance requirements across 3 frameworks
appsync_field_level_logging_enabled,,15,"soc2_aws, iso27001_2022_aws, pci_4.0_aws",client = boto3.client('appsync'),list_graphql_apis(),YES,Serves 15 compliance requirements across 3 frameworks
athena_workgroup_encryption,,8,"aws_foundational_security_best_practices_aws, kisa_isms_p_2023_aws, iso27001_2022_aws, kisa_isms_p_2023_korean_aws, aws_foundational_technical_review_aws, pci_4.0_aws",client = boto3.client('athena'),"list_work_groups(), get_work_group(WorkGroup='string')",YES,Serves 8 compliance requirements across 6 frameworks
athena_workgroup_enforce_configuration,,2,"kisa_isms_p_2023_aws, kisa_isms_p_2023_korean_aws",client = boto3.client('athena'),"list_work_groups(), get_work_group(WorkGroup='string')",YES,Serves 2 compliance requirements across 2 frameworks
athena_workgroup_logging_enabled,,3,"soc2_aws, iso27001_2022_aws",client = boto3.client('athena'),"list_work_groups(), get_work_group(WorkGroup='string')",YES,Serves 3 compliance requirements across 2 frameworks
autoscaling_find_secrets_ec2_launch_configuration,,8,"mitre_attack_aws, kisa_isms_p_2023_aws, kisa_isms_p_2023_korean_aws, aws_well_architected_framework_security_pillar_aws",client = boto3.client('autoscaling'),"describe_auto_scaling_groups(), describe_launch_configurations()",YES,Serves 8 compliance requirements across 4 frameworks
autoscaling_group_capacity_rebalance_enabled,,1,iso27001_2022_aws,client = boto3.client('autoscaling'),describe_auto_scaling_groups(),YES,Serves 1 compliance requirements across 1 frameworks
autoscaling_group_launch_configuration_requires_imdsv2,,1,pci_4.0_aws,client = boto3.client('autoscaling'),describe_auto_scaling_groups(),YES,Serves 1 compliance requirements across 1 frameworks
autoscaling_group_multiple_az,,9,"aws_foundational_security_best_practices_aws, kisa_isms_p_2023_aws, ens_rd2022_aws, iso27001_2022_aws, kisa_isms_p_2023_korean_aws",client = boto3.client('autoscaling'),describe_auto_scaling_groups(),YES,Serves 9 compliance requirements across 5 frameworks
awslambda_function_inside_vpc,,23,"aws_foundational_security_best_practices_aws, kisa_isms_p_2023_aws, iso27001_2022_aws, kisa_isms_p_2023_korean_aws, pci_3.2.1_aws, pci_4.0_aws",client = boto3.client('lambda'),get_function_configuration(FunctionName='your-function-name'),YES,Serves 23 compliance requirements across 6 frameworks
awslambda_function_invoke_api_operations_cloudtrail_logging_enabled,,6,"aws_well_architected_framework_security_pillar_aws, kisa_isms_p_2023_aws, soc2_aws, iso27001_2022_aws, aws_well_architected_framework_reliability_pillar_aws, kisa_isms_p_2023_korean_aws",client = boto3.client('cloudtrail'),lookup_events(),YES,Serves 6 compliance requirements across 6 frameworks
awslambda_function_no_secrets_in_code,,8,"mitre_attack_aws, kisa_isms_p_2023_aws, kisa_isms_p_2023_korean_aws, aws_well_architected_framework_security_pillar_aws",client = boto3.client('lambda'),get_function(),YES,Serves 8 compliance requirements across 4 frameworks
awslambda_function_no_secrets_in_variables,,8,"mitre_attack_aws, kisa_isms_p_2023_aws, kisa_isms_p_2023_korean_aws, aws_well_architected_framework_security_pillar_aws",client = boto3.client('lambda'),get_function_configuration(),YES,Serves 8 compliance requirements across 4 frameworks
awslambda_function_not_publicly_accessible,,97,"nist_csf_1.1_aws, gxp_21_cfr_part_11_aws, pci_3.2.1_aws, nist_800_53_revision_5_aws, nist_800_53_revision_4_aws, fedramp_moderate_revision_4_aws, nist_800_171_revision_2_aws, aws_foundational_security_best_practices_aws, fedramp_low_revision_4_aws, aws_well_architected_framework_security_pillar_aws, ens_rd2022_aws, ffiec_aws, iso27001_2022_aws, kisa_isms_p_2023_korean_aws, hipaa_aws, mitre_attack_aws, rbi_cyber_security_framework_aws, pci_4.0_aws, kisa_isms_p_2023_aws, cisa_aws",client = boto3.client('lambda'),get_function_configuration(),YES,Serves 97 compliance requirements across 20 frameworks
awslambda_function_url_cors_policy,,7,"aws_well_architected_framework_security_pillar_aws, kisa_isms_p_2023_aws, ens_rd2022_aws, iso27001_2022_aws, kisa_isms_p_2023_korean_aws","lambda_client = boto3.client('lambda')
  apigatewayv2_client = boto3.client('apigatewayv2')",get_function_url_config(),YES,Serves 7 compliance requirements across 5 frameworks
awslambda_function_url_public,,74,"nist_csf_1.1_aws, kisa_isms_p_2023_aws, aws_well_architected_framework_security_pillar_aws, fedramp_low_revision_4_aws, nist_800_53_revision_5_aws, nist_800_53_revision_4_aws, ens_rd2022_aws, ffiec_aws, iso27001_2022_aws, gxp_21_cfr_part_11_aws, kisa_isms_p_2023_korean_aws, fedramp_moderate_revision_4_aws, hipaa_aws, nist_800_171_revision_2_aws, rbi_cyber_security_framework_aws","lambda_client = boto3.client('lambda')
  apigatewayv2_client = boto3.client('apigatewayv2'),",get_function_url_config(),YES,Serves 74 compliance requirements across 15 frameworks
awslambda_function_using_supported_runtimes,,3,"aws_foundational_security_best_practices_aws, kisa_isms_p_2023_aws, kisa_isms_p_2023_korean_aws",client = boto3.client('lambda'),"list_functions(), get_function()",YES,Serves 3 compliance requirements across 3 frameworks
awslambda_function_vpc_multi_az,,4,"aws_foundational_security_best_practices_aws, iso27001_2022_aws","lambda_client = boto3.client('lambda')
  ec2_client = boto3.client('ec2')","list_functions(),get_function_configuration(), describe_vpcs(), describe_subnets()",YES,Serves 4 compliance requirements across 2 frameworks
backup_plans_exist,,11,"kisa_isms_p_2023_aws, ens_rd2022_aws, iso27001_2022_aws, kisa_isms_p_2023_korean_aws, mitre_attack_aws, aws_foundational_technical_review_aws",client = boto3.client('backup'),list_backup_plans(),YES,Serves 11 compliance requirements across 6 frameworks
backup_recovery_point_encrypted,,4,"iso27001_2022_aws, pci_4.0_aws",client = boto3.client('backup'),"list_backup_vaults(), list_recovery_points_by_backup_vault(), describe_recovery_point()",YES,Serves 4 compliance requirements across 2 frameworks
backup_reportplans_exist,,9,"kisa_isms_p_2023_aws, ens_rd2022_aws, iso27001_2022_aws, kisa_isms_p_2023_korean_aws, aws_foundational_technical_review_aws",client = boto3.client('backup'),list_report_plans(),YES,Serves 9 compliance requirements across 5 frameworks
backup_vaults_encrypted,,7,"kisa_isms_p_2023_aws, iso27001_2022_aws, kisa_isms_p_2023_korean_aws, aws_foundational_technical_review_aws, rbi_cyber_security_framework_aws",client = boto3.client('backup'),"list_backup_vaults(), describe_backup_vault()",YES,Serves 7 compliance requirements across 5 frameworks
backup_vaults_exist,,7,"kisa_isms_p_2023_aws, ens_rd2022_aws, iso27001_2022_aws, kisa_isms_p_2023_korean_aws, aws_foundational_technical_review_aws",client = boto3.client('backup'),list_backup_vaults(),YES,Serves 7 compliance requirements across 5 frameworks
bedrock_model_invocation_logging_enabled,,2,"soc2_aws, iso27001_2022_aws",client = boto3.client('bedrock'),get_model_invocation_logging_configuration(),YES,Serves 2 compliance requirements across 2 frameworks
bedrock_model_invocation_logs_encryption_enabled,,3,iso27001_2022_aws,client = boto3.client('bedrock'),get_model_invocation_logging_configuration(),YES,Serves 3 compliance requirements across 1 frameworks
cloudformation_stack_outputs_find_secrets,,6,"mitre_attack_aws, kisa_isms_p_2023_aws, kisa_isms_p_2023_korean_aws, aws_well_architected_framework_security_pillar_aws",client = boto3.client('cloudformation'),describe_stacks(),YES,Serves 6 compliance requirements across 4 frameworks
cloudformation_stacks_termination_protection_enabled,,3,"aws_well_architected_framework_reliability_pillar_aws, kisa_isms_p_2023_aws, kisa_isms_p_2023_korean_aws",client = boto3.client('cloudformation'),describe_stacks(),YES,Serves 3 compliance requirements across 3 frameworks
cloudfront_distributions_custom_ssl_certificate,,19,"aws_foundational_security_best_practices_aws, pci_4.0_aws",client = boto3.client('cloudfront'),"list_distributions(), get_distribution_config()",YES,Serves 19 compliance requirements across 2 frameworks
cloudfront_distributions_default_root_object,,1,aws_foundational_security_best_practices_aws,client = boto3.client('cloudfront'),"list_distributions(), get_distribution_config()",YES,Serves 1 compliance requirements across 1 frameworks
cloudfront_distributions_field_level_encryption_enabled,,5,"aws_well_architected_framework_security_pillar_aws, kisa_isms_p_2023_aws, iso27001_2022_aws, kisa_isms_p_2023_korean_aws",client = boto3.client('cloudfront'),"list_distributions(), get_distribution_config()",YES,Serves 5 compliance requirements across 4 frameworks
cloudfront_distributions_geo_restrictions_enabled,,2,"kisa_isms_p_2023_aws, kisa_isms_p_2023_korean_aws",client = boto3.client('cloudfront'),"list_distributions(), get_distribution_config()",YES,Serves 2 compliance requirements across 2 frameworks
cloudfront_distributions_https_enabled,,19,"kisa_isms_p_2023_aws, aws_well_architected_framework_security_pillar_aws, ens_rd2022_aws, kisa_isms_p_2023_korean_aws, hipaa_aws, mitre_attack_aws, gdpr_aws, pci_4.0_aws",client = boto3.client('cloudfront'),"list_distributions(), get_distribution_config()",YES,Serves 19 compliance requirements across 8 frameworks
cloudfront_distributions_https_sni_enabled,,3,"aws_foundational_security_best_practices_aws, pci_4.0_aws",client = boto3.client('cloudfront'),"list_distributions(), get_distribution_config()",YES,Serves 3 compliance requirements across 2 frameworks
cloudfront_distributions_logging_enabled,,21,"aws_foundational_security_best_practices_aws, aws_well_architected_framework_security_pillar_aws, kisa_isms_p_2023_aws, ens_rd2022_aws, soc2_aws, iso27001_2022_aws, kisa_isms_p_2023_korean_aws, pci_4.0_aws",client = boto3.client('cloudfront'),"list_distributions(), get_distribution_config()",YES,Serves 21 compliance requirements across 8 frameworks
cloudfront_distributions_multiple_origin_failover_configured,,2,"aws_foundational_security_best_practices_aws, iso27001_2022_aws",client = boto3.client('cloudfront'),get_distribution_config(),YES,Serves 2 compliance requirements across 2 frameworks
cloudfront_distributions_origin_traffic_encrypted,,11,"aws_foundational_security_best_practices_aws, iso27001_2022_aws, pci_4.0_aws, pci_3.2.1_aws",client = boto3.client('cloudfront'),get_distribution_config(),YES,Serves 11 compliance requirements across 4 frameworks
cloudfront_distributions_s3_origin_access_control,,3,"aws_foundational_security_best_practices_aws, pci_4.0_aws","cloudfront_client = boto3.client('cloudfront')
  s3_client = boto3.client('s3')","list_distributions(), get_distribution_config(), head_bucket()",YES,Serves 3 compliance requirements across 2 frameworks
cloudfront_distributions_s3_origin_non_existent_bucket,,1,aws_foundational_security_best_practices_aws,"cloudfront_client = boto3.client('cloudfront')
  s3_client = boto3.client('s3')","list_distributions(), get_distribution_config(), head_bucket()",YES,Serves 1 compliance requirements across 1 frameworks
cloudfront_distributions_using_deprecated_ssl_protocols,,24,"aws_foundational_security_best_practices_aws, aws_well_architected_framework_security_pillar_aws, kisa_isms_p_2023_aws, kisa_isms_p_2023_korean_aws, pci_3.2.1_aws, pci_4.0_aws",client = boto3.client('cloudfront'),"list_distributions(), get_distribution_config(), get_distribution(), update_distribution()",YES,Serves 24 compliance requirements across 6 frameworks
cloudfront_distributions_using_waf,,20,"aws_foundational_security_best_practices_aws, aws_well_architected_framework_security_pillar_aws, kisa_isms_p_2023_aws, ens_rd2022_aws, kisa_isms_p_2023_korean_aws, aws_account_security_onboarding_aws, pci_4.0_aws","cloudfront_client = boto3.client('cloudfront')
  wafv2_client = boto3.client('wafv2')","list_distributions(), get_distribution(), list_web_acls(), get_web_acl()",YES,Serves 20 compliance requirements across 7 frameworks
cloudtrail_bucket_requires_mfa_delete,,4,"ens_rd2022_aws, cis_2.0_aws, kisa_isms_p_2023_aws, kisa_isms_p_2023_korean_aws",client = boto3.client('s3'),get_bucket_versioning(Bucket='bucket-name'),YES,Serves 4 compliance requirements across 4 frameworks
cloudtrail_cloudwatch_logging_enabled,,172,"nist_csf_1.1_aws, cis_2.0_aws, gxp_21_cfr_part_11_aws, pci_3.2.1_aws, gdpr_aws, nist_800_53_revision_5_aws, nist_800_53_revision_4_aws, soc2_aws, aws_well_architected_framework_reliability_pillar_aws, fedramp_moderate_revision_4_aws, nist_800_171_revision_2_aws, aws_foundational_security_best_practices_aws, aws_well_architected_framework_security_pillar_aws, ens_rd2022_aws, ffiec_aws, iso27001_2022_aws, kisa_isms_p_2023_korean_aws, iso27001_2013_aws, hipaa_aws, rbi_cyber_security_framework_aws, pci_4.0_aws, cis_1.5_aws, kisa_isms_p_2023_aws, cis_1.4_aws",client = boto3.client('cloudtrail'),describe_trails(),YES,Serves 172 compliance requirements across 24 frameworks
cloudtrail_insights_exist,,16,"ens_rd2022_aws, kisa_isms_p_2023_aws, kisa_isms_p_2023_korean_aws, pci_4.0_aws",client = boto3.client('cloudtrail'),"describe_trails(), get_event_selectors(), lookup_events(), get_insight_selector()",YES,Serves 16 compliance requirements across 4 frameworks
cloudtrail_kms_encryption_enabled,,66,"cis_4.0_aws, nist_csf_1.1_aws, cis_2.0_aws, gxp_21_cfr_part_11_aws, pci_3.2.1_aws, aws_foundational_technical_review_aws, gdpr_aws, nist_800_53_revision_5_aws, nist_800_53_revision_4_aws, fedramp_moderate_revision_4_aws, nist_800_171_revision_2_aws, aws_foundational_security_best_practices_aws, fedramp_low_revision_4_aws, aws_well_architected_framework_security_pillar_aws, ens_rd2022_aws, iso27001_2022_aws, kisa_isms_p_2023_korean_aws, hipaa_aws, gxp_eu_annex_11_aws, rbi_cyber_security_framework_aws, pci_4.0_aws, cis_1.5_aws, kisa_isms_p_2023_aws, cis_1.4_aws, cisa_aws, cis_3.0_aws",client = boto3.client('cloudtrail'),describe_trails(),YES,Serves 66 compliance requirements across 26 frameworks
cloudtrail_log_file_validation_enabled,,57,"cis_4.0_aws, nist_csf_1.1_aws, cis_2.0_aws, gxp_21_cfr_part_11_aws, pci_3.2.1_aws, gdpr_aws, nist_800_53_revision_5_aws, nist_800_53_revision_4_aws, soc2_aws, fedramp_moderate_revision_4_aws, nist_800_171_revision_2_aws, aws_foundational_security_best_practices_aws, fedramp_low_revision_4_aws, aws_well_architected_framework_security_pillar_aws, ens_rd2022_aws, iso27001_2022_aws, kisa_isms_p_2023_korean_aws, hipaa_aws, pci_4.0_aws, cis_1.5_aws, kisa_isms_p_2023_aws, cis_1.4_aws, cisa_aws, cis_3.0_aws",client = boto3.client('cloudtrail'),describe_trails(),YES,Serves 57 compliance requirements across 24 frameworks
cloudtrail_logs_s3_bucket_access_logging_enabled,,18,"aws_foundational_security_best_practices_aws, cis_4.0_aws, kisa_isms_p_2023_aws, aws_well_architected_framework_security_pillar_aws, cis_3.0_aws, ens_rd2022_aws, cis_1.4_aws, soc2_aws, iso27001_2022_aws, cis_2.0_aws, kisa_isms_p_2023_korean_aws, aws_account_security_onboarding_aws, iso27001_2013_aws, gdpr_aws, cis_1.5_aws","cloudtrail_client = boto3.client('cloudtrail')
 s3_client = boto3.client('s3')","cloudtrail.describe_trails(), s3.get_bucket_logging(Bucket='bucket-name')",YES,Serves 18 compliance requirements across 15 frameworks
cloudtrail_logs_s3_bucket_is_not_publicly_accessible,,18,"aws_foundational_security_best_practices_aws, kisa_isms_p_2023_aws, aws_well_architected_framework_security_pillar_aws, ens_rd2022_aws, cis_1.4_aws, iso27001_2022_aws, cis_2.0_aws, kisa_isms_p_2023_korean_aws, iso27001_2013_aws, gdpr_aws, cis_1.5_aws","cloudtrail = boto3.client('cloudtrail')
 s3 = boto3.client('s3')","cloudtrail.describe_trails(), s3.get_bucket_policy_status(Bucket=...)",YES,Serves 18 compliance requirements across 11 frameworks
cloudtrail_multi_region_enabled,,264,"cis_4.0_aws, nist_csf_1.1_aws, cis_2.0_aws, gxp_21_cfr_part_11_aws, pci_3.2.1_aws, gdpr_aws, aws_account_security_onboarding_aws, nist_800_53_revision_5_aws, nist_800_53_revision_4_aws, soc2_aws, fedramp_moderate_revision_4_aws, nist_800_171_revision_2_aws, aws_foundational_security_best_practices_aws, fedramp_low_revision_4_aws, aws_well_architected_framework_security_pillar_aws, ens_rd2022_aws, ffiec_aws, kisa_isms_p_2023_korean_aws, iso27001_2013_aws, gxp_eu_annex_11_aws, hipaa_aws, rbi_cyber_security_framework_aws, pci_4.0_aws, cis_1.5_aws, kisa_isms_p_2023_aws, cis_1.4_aws, cisa_aws, cis_3.0_aws",client = boto3.client('cloudtrail'),describe_trails(),YES,Serves 264 compliance requirements across 28 frameworks
cloudtrail_multi_region_enabled_logging_management_events,,9,"kisa_isms_p_2023_aws, iso27001_2022_aws, kisa_isms_p_2023_korean_aws, aws_account_security_onboarding_aws",client = boto3.client('cloudtrail'),"describe_trails(), get_event_selectors(), get_trail_status()",YES,Serves 9 compliance requirements across 4 frameworks
cloudtrail_s3_dataevents_read_enabled,,130,"cis_4.0_aws, nist_csf_1.1_aws, cis_2.0_aws, gxp_21_cfr_part_11_aws, pci_3.2.1_aws, gdpr_aws, aws_account_security_onboarding_aws, nist_800_53_revision_5_aws, nist_800_53_revision_4_aws, soc2_aws, fedramp_moderate_revision_4_aws, nist_800_171_revision_2_aws, fedramp_low_revision_4_aws, aws_well_architected_framework_security_pillar_aws, ens_rd2022_aws, ffiec_aws, iso27001_2022_aws, kisa_isms_p_2023_korean_aws, hipaa_aws, gxp_eu_annex_11_aws, rbi_cyber_security_framework_aws, cis_1.5_aws, kisa_isms_p_2023_aws, cis_1.4_aws, cisa_aws, cis_3.0_aws",client = boto3.client('cloudtrail'),"describe_trails(), get_event_selectors()",YES,Serves 130 compliance requirements across 26 frameworks
cloudtrail_s3_dataevents_write_enabled,,128,"cis_4.0_aws, nist_csf_1.1_aws, cis_2.0_aws, gxp_21_cfr_part_11_aws, gdpr_aws, aws_account_security_onboarding_aws, nist_800_53_revision_5_aws, nist_800_53_revision_4_aws, soc2_aws, fedramp_moderate_revision_4_aws, nist_800_171_revision_2_aws, fedramp_low_revision_4_aws, aws_well_architected_framework_security_pillar_aws, ens_rd2022_aws, ffiec_aws, iso27001_2022_aws, kisa_isms_p_2023_korean_aws, hipaa_aws, gxp_eu_annex_11_aws, rbi_cyber_security_framework_aws, pci_4.0_aws, cis_1.5_aws, kisa_isms_p_2023_aws, cis_1.4_aws, cisa_aws, cis_3.0_aws",client = boto3.client('cloudtrail'),"describe_trails(), get_event_selectors()",YES,Serves 128 compliance requirements across 26 frameworks
cloudtrail_threat_detection_enumeration,,6,"iso27001_2022_aws, kisa_isms_p_2023_aws, soc2_aws, kisa_isms_p_2023_korean_aws",client = boto3.client('cloudtrail'),lookup_events(),YES,Serves 6 compliance requirements across 4 frameworks
cloudtrail_threat_detection_llm_jacking,,2,"soc2_aws, iso27001_2022_aws",client = boto3.client('cloudtrail'),lookup_events(),YES,Serves 2 compliance requirements across 2 frameworks
cloudtrail_threat_detection_privilege_escalation,,2,"soc2_aws, iso27001_2022_aws",client = boto3.client('cloudtrail'),lookup_events(),YES,Serves 2 compliance requirements across 2 frameworks
cloudwatch_alarm_actions_alarm_state_configured,,25,pci_4.0_aws,client = boto3.client('cloudwatch'),describe_alarms(),YES,Serves 25 compliance requirements across 1 frameworks
cloudwatch_changes_to_network_acls_alarm_configured,,76,"cis_4.0_aws, nist_csf_1.1_aws, cis_2.0_aws, nist_800_53_revision_5_aws, nist_800_53_revision_4_aws, soc2_aws, fedramp_moderate_revision_4_aws, nist_800_171_revision_2_aws, fedramp_low_revision_4_aws, aws_well_architected_framework_security_pillar_aws, ffiec_aws, iso27001_2022_aws, kisa_isms_p_2023_korean_aws, iso27001_2013_aws, mitre_attack_aws, hipaa_aws, cis_1.5_aws, kisa_isms_p_2023_aws, cis_1.4_aws, cis_3.0_aws","logs_client = boto3.client('logs'), cw_client = boto3.client('cloudwatch')","describe_log_groups(), describe_metric_filters(), describe_alarms()",YES,Serves 76 compliance requirements across 20 frameworks
