compliance_name,unique_key,id,name,description,check_count,service_count,check_functions_str,services_str,applied_services
cisa_aws,cisa_gen_001_002,your-crisis-response-2,Your Crisis Response-2,"Lead development of an internal reporting structure to detect, communicate and contain attacks.",2,2,"['guardduty_is_enabled', 'securityhub_enabled']","['guardduty', 'securityhub']",
cisa_aws,cisa_gen_001_001,booting-up-thing-to-do-first-1,YBooting Up: Things to Do First-1,"Lead development of an internal reporting structure to detect, communicate and contain attacks.",7,5,"['dynamodb_tables_pitr_enabled', 'dynamodb_tables_pitr_enabled', 'efs_have_backup_enabled', 'rds_instance_backup_enabled', 'rds_instance_backup_enabled', 'redshift_cluster_automated_snapshot', 's3_bucket_object_versioning']","['efs', 's3', 'dynamodb', 'redshift', 'rds']",
cisa_aws,cisa_gen_001_002,booting-up-thing-to-do-first-2,YBooting Up: Things to Do First-2,"Require multi-factor authentication (MFA) for accessing your systems whenever possible. MFA should be required of all users, but start with privileged, administrative, and remote access users.",4,1,"['iam_user_hardware_mfa_enabled', 'iam_root_mfa_enabled', 'iam_user_mfa_enabled_console_access', 'iam_user_hardware_mfa_enabled']",['iam'],
cisa_aws,cisa_gen_001_003,booting-up-thing-to-do-first-3,YBooting Up: Things to Do First-3,"Enable automatic updates whenever possible. Replace unsupported operating systems, applications and hardware. Test and deploy patches quickly.",3,3,"['rds_instance_minor_version_upgrade_enabled', 'redshift_cluster_automatic_upgrades', 'ssm_managed_compliant_patching']","['ssm', 'redshift', 'rds']",
soc2_aws,,cc_1_3,"CC1.3 COSO Principle 3: Management establishes, with board oversight, structures, reporting lines, and appropriate authorities and responsibilities in the pursuit of objectives","Considers All Structures of the Entity - Management and the board of directors consider the multiple structures used (including operating units, legal entities, geographic distribution, and outsourced service providers) to support the achievement of objectives. Establishes Reporting Lines - Management designs and evaluates lines of reporting for each entity structure to enable execution of authorities and responsibilities and flow of information to manage the activities of the entity. Defines, Assigns, and Limits Authorities and Responsibilities - Management and the board of directors delegate authority, define responsibilities, and use appropriate processes and technology to assign responsibility and segregate duties as necessary at the various levels of the organization. Additional points of focus specifically related to all engagements using the trust services criteria: Addresses Specific Requirements When Defining Authorities and Responsibilities—Management and the board of directors consider requirements relevant to security, availability, processing integrity, confidentiality, and privacy when defining authorities and responsibilities. Considers Interactions With External Parties When Establishing Structures, Reporting Lines, Authorities, and Responsibilities — Management and the board of directors consider the need for the entity to interact with and monitor the activities of external parties when establishing structures, reporting lines, authorities, and responsibilities.",6,1,"['iam_policy_attached_only_to_group_or_roles', 'iam_aws_attached_policy_no_administrative_privileges', 'iam_customer_attached_policy_no_administrative_privileges', 'iam_inline_policy_no_administrative_privileges', 'iam_user_accesskey_unused', 'iam_user_console_access_unused']",['iam'],
soc2_aws,,cc_2_1,"CC2.1 COSO Principle 13: The entity obtains or generates and uses relevant, quality information to support the functioning of internal control","Identifies Information Requirements - A process is in place to identify the information required and expected to support the functioning of the other components of internal control and the achievement of the entity’s objectives. Captures Internal and External Sources of Data - Information systems capture internal and external sources of data. Processes Relevant Data Into Information - Information systems process and transform relevant data into information. Maintains Quality Throughout Processing - Information systems produce information that is timely, current, accurate, complete, accessible, protected, verifiable, and retained. Information is reviewed to assess its relevance in supporting the internal control components.",4,2,"['cloudtrail_s3_dataevents_read_enabled', 'cloudtrail_s3_dataevents_write_enabled', 'cloudtrail_multi_region_enabled', 'config_recorder_all_regions_enabled']","['config', 'cloudtrail']",
soc2_aws,,cc_3_1,CC3.1 COSO Principle 6: The entity specifies objectives with sufficient clarity to enable the identification and assessment of risks relating to objectives,"Operations Objectives: Reflects Management's Choices - Operations objectives reflect management's choices about structure, industry considerations, and performance of the entity. Considers Tolerances for Risk - Management considers the acceptable levels of variation relative to the achievement of operations objectives. External Financial Reporting Objectives: Complies With Applicable Accounting Standards - Financial reporting objectives are consistent with accounting principles suitable and available for that entity. The accounting principles selected are appropriate in the circumstances. External Nonfinancial Reporting Objectives: Complies With Externally Established Frameworks - Management establishes objectives consistent with laws and regulations or standards and frameworks of recognized external organizations. Reflects Entity Activities - External reporting reflects the underlying transactions and events within a range of acceptable limits. Considers the Required Level of Precision—Management reflects the required level of precision and accuracy suitable for user needs and based on criteria established by third parties in nonfinancial reporting. Internal Reporting Objectives: Reflects Management's Choices - Internal reporting provides management with accurate and complete information regarding management's choices and information needed in managing the entity. Considers the Required Level of Precision—Management reflects the required level of precision and accuracy suitable for user needs in nonfinancial reporting objectives and materiality within financial reporting objectives. Reflects Entity Activities—Internal reporting reflects the underlying transactions and events within a range of acceptable limits. Compliance Objectives: Reflects External Laws and Regulations - Laws and regulations establish minimum standards of conduct, which the entity integrates into compliance objectives. Considers Tolerances for Risk - Management considers the acceptable levels of variation relative to the achievement of operations objectives. Additional point of focus specifically related to all engagements using the trust services criteria: Establishes Sub-objectives to Support Objectives—Management identifies sub-objectives related to security, availability, processing integrity, confidentiality, and privacy to support the achievement of the entity’s objectives related to reporting, operations, and compliance.",3,3,"['guardduty_is_enabled', 'securityhub_enabled', 'config_recorder_all_regions_enabled']","['config', 'guardduty', 'securityhub']",
soc2_aws,,cc_3_2,CC3.2 COSO Principle 7: The entity identifies risks to the achievement of its objectives across the entity and analyzes risks as a basis for determining how the risks should be managed,"Includes Entity, Subsidiary, Division, Operating Unit, and Functional Levels - The entity identifies and assesses risk at the entity, subsidiary, division, operating unit, and functional levels relevant to the achievement of objectives. Analyzes Internal and External Factors - Risk identification considers both internal and external factors and their impact on the achievement of objectives. Involves Appropriate Levels of Management - The entity puts into place effective risk assessment mechanisms that involve appropriate levels of management. Estimates Significance of Risks Identified - Identified risks are analyzed through a process that includes estimating the potential significance of the risk. Determines How to Respond to Risks - Risk assessment includes considering how the risk should be managed and whether to accept, avoid, reduce, or share the risk. Additional points of focus specifically related to all engagements using the trust services criteria: Identifies and Assesses Criticality of Information Assets and Identifies Threats and Vulnerabilities - The entity's risk identification and assessment process includes (1) identifying information assets, including physical devices and systems, virtual devices, software, data and data flows, external information systems, and organizational roles; (2) assessing the criticality of those information assets; (3) identifying the threats to the assets from intentional (including malicious) and unintentional acts and environmental events; and (4) identifying the vulnerabilities of the identified assets.",4,3,"['ec2_instance_managed_by_ssm', 'ssm_managed_compliant_patching', 'guardduty_no_high_severity_findings', 'guardduty_is_enabled']","['ssm', 'guardduty', 'ec2']",
soc2_aws,,cc_3_3,CC3.3 COSO Principle 8: The entity considers the potential for fraud in assessing risks to the achievement of objectives,"Considers Various Types of Fraud - The assessment of fraud considers fraudulent reporting, possible loss of assets, and corruption resulting from the various ways that fraud and misconduct can occur. Assesses Incentives and Pressures - The assessment of fraud risks considers incentives and pressures. Assesses Opportunities - The assessment of fraud risk considers opportunities for unauthorized acquisition,use, or disposal of assets, altering the entity’s reporting records, or committing other inappropriate acts. Assesses Attitudes and Rationalizations - The assessment of fraud risk considers how management and other personnel might engage in or justify inappropriate actions. Additional point of focus specifically related to all engagements using the trust services criteria: Considers the Risks Related to the Use of IT and Access to Information - The assessment of fraud risks includes consideration of threats and vulnerabilities that arise specifically from the use of IT and access to information.",5,2,"['iam_inline_policy_allows_privilege_escalation', 'iam_policy_no_full_access_to_cloudtrail', 'cloudtrail_threat_detection_privilege_escalation', 'cloudtrail_threat_detection_enumeration', 'cloudtrail_threat_detection_llm_jacking']","['iam', 'cloudtrail']",
soc2_aws,,cc_4_2,"CC4.2 COSO Principle 17: The entity evaluates and communicates internal control deficiencies in a timely manner to those parties responsible for taking corrective action, including senior management and the board of directors, as appropriate","Assesses Results - Management and the board of directors, as appropriate, assess results of ongoing and separate evaluations. Communicates Deficiencies - Deficiencies are communicated to parties responsible for taking corrective action and to senior management and the board of directors, as appropriate. Monitors Corrective Action - Management tracks whether deficiencies are remedied on a timely basis.",2,1,"['guardduty_is_enabled', 'guardduty_no_high_severity_findings']",['guardduty'],
soc2_aws,,cc_5_2,CC5.2 COSO Principle 11: The entity also selects and develops general control activities over technology to support the achievement of objectives,"Determines Dependency Between the Use of Technology in Business Processes and Technology General Controls - Management understands and determines the dependency and linkage between business processes, automated control activities, and technology general controls. Establishes Relevant Technology Infrastructure Control Activities - Management selects and develops control activities over the technology infrastructure, which are designed and implemented to help ensure the completeness, accuracy, and availability of technology processing. Establishes Relevant Security Management Process Controls Activities - Management selects and develops control activities that are designed and implemented to restrict technology access rights to authorized users commensurate with their job responsibilities and to protect the entity’s assets from external threats. Establishes Relevant Technology Acquisition, Development, and Maintenance Process Control Activities - Management selects and develops control activities over the acquisition, development, and maintenance of technology and its infrastructure to achieve management’s objectives.",10,1,"['cloudwatch_changes_to_network_acls_alarm_configured', 'cloudwatch_changes_to_network_gateways_alarm_configured', 'cloudwatch_changes_to_network_route_tables_alarm_configured', 'cloudwatch_changes_to_vpcs_alarm_configured', 'cloudwatch_log_metric_filter_and_alarm_for_aws_config_configuration_changes_enabled', 'cloudwatch_log_metric_filter_and_alarm_for_cloudtrail_configuration_changes_enabled', 'cloudwatch_log_metric_filter_aws_organizations_changes', 'cloudwatch_log_metric_filter_for_s3_bucket_policy_changes', 'cloudwatch_log_metric_filter_policy_changes', 'cloudwatch_log_metric_filter_security_group_changes']",['cloudwatch'],
soc2_aws,,cc_6_3,"CC6.3 The entity authorizes, modifies, or removes access to data, software, functions, and other protected information assets based on roles, responsibilities, or the system design and changes, giving consideration to the concepts of least privilege and segregation of duties, to meet the entity’s objectives",Creates or Modifies Access to Protected Information Assets - Processes are in place to create or modify access to protected information assets based on authorization from the asset’s owner. Removes Access to Protected Information Assets - Processes are in place to remove access to protected information assets when an individual no longer requires access. Uses Role-Based Access Controls - Role-based access control is utilized to support segregation of incompatible functions.,3,1,"['iam_aws_attached_policy_no_administrative_privileges', 'iam_customer_attached_policy_no_administrative_privileges', 'iam_inline_policy_no_administrative_privileges']",['iam'],
soc2_aws,,cc_6_6,CC6.6 The entity implements logical access security measures to protect against threats from sources outside its system boundaries,"Restricts Access — The types of activities that can occur through a communication channel (for example, FTP site, router port) are restricted. Protects Identification and Authentication Credentials — Identification and authentication credentials are protected during transmission outside its system boundaries. Requires Additional Authentication or Credentials — Additional authentication information or credentials are required when accessing the system from outside its boundaries. Implements Boundary Protection Systems — Boundary protection systems (for example, firewalls, demilitarized zones, and intrusion detection systems) are implemented to protect external access points from attempts and unauthorized access and are monitored to detect such attempts.",45,2,"['ec2_instance_public_ip', 'ec2_ami_public', 'ec2_ebs_public_snapshot', 'ec2_ebs_snapshot_account_block_public_access', 'ec2_launch_template_no_public_ip', 'ec2_securitygroup_allow_wide_open_public_ipv4', 'vpc_subnet_no_public_ip_by_default', 'vpc_subnet_separate_private_public', 'ec2_instance_port_cassandra_exposed_to_internet', 'ec2_instance_port_cifs_exposed_to_internet', 'ec2_instance_port_elasticsearch_kibana_exposed_to_internet', 'ec2_instance_port_ftp_exposed_to_internet', 'ec2_instance_port_kafka_exposed_to_internet', 'ec2_instance_port_kerberos_exposed_to_internet', 'ec2_instance_port_ldap_exposed_to_internet', 'ec2_instance_port_memcached_exposed_to_internet', 'ec2_instance_port_mongodb_exposed_to_internet', 'ec2_instance_port_mysql_exposed_to_internet', 'ec2_instance_port_oracle_exposed_to_internet', 'ec2_instance_port_postgresql_exposed_to_internet', 'ec2_instance_port_rdp_exposed_to_internet', 'ec2_instance_port_redis_exposed_to_internet', 'ec2_instance_port_sqlserver_exposed_to_internet', 'ec2_instance_port_ssh_exposed_to_internet', 'ec2_instance_port_telnet_exposed_to_internet', 'ec2_networkacl_allow_ingress_any_port', 'ec2_networkacl_allow_ingress_tcp_port_22', 'ec2_networkacl_allow_ingress_tcp_port_3389', 'ec2_securitygroup_allow_ingress_from_internet_to_all_ports', 'ec2_securitygroup_allow_ingress_from_internet_to_any_port', 'ec2_securitygroup_allow_ingress_from_internet_to_high_risk_tcp_ports', 'ec2_securitygroup_allow_ingress_from_internet_to_port_mongodb_27017_27018', 'ec2_securitygroup_allow_ingress_from_internet_to_tcp_ftp_port_20_21', 'ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22', 'ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_3389', 'ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_cassandra_7199_9160_8888', 'ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_elasticsearch_kibana_9200_9300_5601', 'ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_kafka_9092', 'ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_memcached_11211', 'ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_mysql_3306', 'ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_oracle_1521_2483', 'ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_postgres_5432', 'ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_redis_6379', 'ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_sql_server_1433_1434', 'ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_telnet_23']","['ec2', 'vpc']",
soc2_aws,,cc_6_7,"CC6.7 The entity restricts the transmission, movement, and removal of information to authorized internal and external users and processes, and protects it during transmission, movement, or removal to meet the entity’s objectives","Restricts the Ability to Perform Transmission - Data loss prevention processes and technologies are used to restrict ability to authorize and execute transmission, movement and removal of information. Uses Encryption Technologies or Secure Communication Channels to Protect Data - Encryption technologies or secured communication channels are used to protect transmission of data and other communications beyond connectivity access points. Protects Removal Media - Encryption technologies and physical asset protections are used for removable media (such as USB drives and back-up tapes), as appropriate. Protects Mobile Devices - Processes are in place to protect mobile devices (such as laptops, smart phones and tablets) that serve as information assets.",9,8,"['acm_certificates_expiration_check', 'dms_endpoint_redis_in_transit_encryption_enabled', 'dynamodb_accelerator_cluster_in_transit_encryption_enabled', 'ec2_transitgateway_auto_accept_vpc_attachments', 'elasticache_redis_cluster_in_transit_encryption_enabled', 'kafka_cluster_in_transit_encryption_enabled', 'kafka_connector_in_transit_encryption_enabled', 'redshift_cluster_in_transit_encryption_enabled', 'transfer_server_in_transit_encryption_enabled']","['elasticache', 'kafka', 'redshift', 'transfer', 'acm', 'dynamodb', 'dms', 'ec2']",
soc2_aws,,cc_6_8,CC6.8 The entity implements controls to prevent or detect and act upon the introduction of unauthorized or malicious software to meet the entity’s objectives,Restricts Application and Software Installation - The ability to install applications and software is restricted to authorized individuals. Detects Unauthorized Changes to Software and Configuration Parameters - Processes are in place to detect changes to software and configuration parameters that may be indicative of unauthorized or malicious software. Uses a Defined Change Control Process - A management-defined change control process is used for the implementation of software. Uses Antivirus and Anti-Malware Software - Antivirus and anti-malware software is implemented and maintained to provide for the interception or detection and remediation of malware. Scans Information Assets from Outside the Entity for Malware and Other Unauthorized Software - Procedures are in place to scan information assets that have been transferred or returned to the entity’s custody for malware and other unauthorized software and to remove any items detected prior to its implementation on the network.,2,2,"['guardduty_is_enabled', 'securityhub_enabled']","['guardduty', 'securityhub']",
soc2_aws,,cc_7_1,"CC7.1 To meet its objectives, the entity uses detection and monitoring procedures to identify (1) changes to configurations that result in the introduction of new vulnerabilities, and (2) susceptibilities to newly discovered vulnerabilities","Uses Defined Configuration Standards - Management has defined configuration standards. Monitors Infrastructure and Software - The entity monitors infrastructure and software for noncompliance with the standards, which could threaten the achievement of the entity's objectives. Implements Change-Detection Mechanisms - The IT system includes a change-detection mechanism (for example, file integrity monitoring tools) to alert personnel to unauthorized modifications of critical system files, configuration files, or content files. Detects Unknown or Unauthorized Components - Procedures are in place to detect the introduction of unknown or unauthorized components. Conducts Vulnerability Scans - The entity conducts vulnerability scans designed to identify potential vulnerabilities or misconfigurations on a periodic basis and after any significant change in the environment and takes action to remediate identified deficiencies on a timely basis.",4,4,"['guardduty_is_enabled', 'securityhub_enabled', 'ec2_instance_managed_by_ssm', 'ssm_managed_compliant_patching']","['ssm', 'guardduty', 'ec2', 'securityhub']",
soc2_aws,,cc_7_2,"CC7.2 The entity monitors system components and the operation of those components for anomalies that are indicative of malicious acts, natural disasters, and errors affecting the entity's ability to meet its objectives; anomalies are analyzed to determine whether they represent security events","Implements Detection Policies, Procedures, and Tools - Detection policies and procedures are defined and implemented, and detection tools are implemented on Infrastructure and software to identify anomalies in the operation or unusual activity on systems. Procedures may include (1) a defined governance process for security event detection and management that includes provision of resources; (2) use of intelligence sources to identify newly discovered threats and vulnerabilities; and (3) logging of unusual system activities. Designs Detection Measures - Detection measures are designed to identify anomalies that could result from actual or attempted (1) compromise of physical barriers; (2) unauthorized actions of authorized personnel; (3) use of compromised identification and authentication credentials; (4) unauthorized access from outside the system boundaries; (5) compromise of authorized external parties; and (6) implementation or connection of unauthorized hardware and software. Implements Filters to Analyze Anomalies - Management has implemented procedures to filter, summarize, and analyze anomalies to identify security events. Monitors Detection Tools for Effective Operation - Management has implemented processes to monitor the effectiveness of detection tools.",20,12,"['cloudtrail_cloudwatch_logging_enabled', 'cloudwatch_changes_to_network_acls_alarm_configured', 'cloudwatch_changes_to_network_gateways_alarm_configured', 'cloudwatch_changes_to_network_route_tables_alarm_configured', 'cloudwatch_changes_to_vpcs_alarm_configured', 'cloudtrail_s3_dataevents_read_enabled', 'cloudtrail_s3_dataevents_write_enabled', 'elbv2_logging_enabled', 'elb_logging_enabled', 's3_bucket_server_access_logging_enabled', 'rds_instance_integration_cloudwatch_logs', 'cloudtrail_multi_region_enabled', 'securityhub_enabled', 'cloudwatch_log_group_retention_policy_specific_days_enabled', 'redshift_cluster_audit_logging', 'vpc_flow_logs_enabled', 'ec2_instance_imdsv2_enabled', 'guardduty_is_enabled', 'apigateway_restapi_logging_enabled', 'ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22']","['apigateway', 'elbv2', 'guardduty', 'vpc', 'securityhub', 's3', 'ec2', 'cloudwatch', 'elb', 'redshift', 'rds', 'cloudtrail']",
